day,open,high,low,close,volume
2024-05-31 13:53:00,11.15,11.16,11.14,11.15,83300
2024-05-31 13:54:00,11.16,11.16,11.15,11.16,138900
2024-05-31 13:55:00,11.16,11.16,11.15,11.16,81600
2024-05-31 13:56:00,11.16,11.16,11.15,11.15,379020
2024-05-31 13:57:00,11.16,11.16,11.15,11.16,205300
2024-05-31 13:58:00,11.16,11.16,11.15,11.15,71900
2024-05-31 13:59:00,11.16,11.16,11.15,11.15,246300
2024-05-31 14:00:00,11.16,11.16,11.15,11.16,222500
2024-05-31 14:01:00,11.15,11.16,11.15,11.15,75400
2024-05-31 14:02:00,11.15,11.16,11.14,11.15,717980
2024-05-31 14:03:00,11.15,11.15,11.13,11.14,725000
2024-05-31 14:04:00,11.13,11.14,11.13,11.13,386500
2024-05-31 14:05:00,11.13,11.14,11.13,11.14,94900
2024-05-31 14:06:00,11.13,11.14,11.13,11.13,108200
2024-05-31 14:07:00,11.13,11.14,11.13,11.13,82300
2024-05-31 14:08:00,11.13,11.14,11.12,11.13,1306300
2024-05-31 14:09:00,11.13,11.14,11.12,11.14,235700
2024-05-31 14:10:00,11.14,11.14,11.13,11.13,95000
2024-05-31 14:11:00,11.13,11.14,11.12,11.13,415500
2024-05-31 14:12:00,11.13,11.13,11.12,11.12,279000
2024-05-31 14:13:00,11.12,11.13,11.12,11.12,136200
2024-05-31 14:14:00,11.13,11.13,11.12,11.12,241900
2024-05-31 14:15:00,11.12,11.13,11.12,11.12,186900
2024-05-31 14:16:00,11.12,11.13,11.12,11.13,185100
2024-05-31 14:17:00,11.12,11.13,11.12,11.13,281200
2024-05-31 14:18:00,11.13,11.13,11.12,11.12,84100
2024-05-31 14:19:00,11.13,11.13,11.12,11.12,201800
2024-05-31 14:20:00,11.12,11.13,11.12,11.12,437900
2024-05-31 14:21:00,11.12,11.13,11.12,11.12,265300
2024-05-31 14:22:00,11.13,11.13,11.12,11.13,56400
2024-05-31 14:23:00,11.12,11.13,11.12,11.13,160800
2024-05-31 14:24:00,11.12,11.13,11.12,11.13,164200
2024-05-31 14:25:00,11.13,11.13,11.12,11.13,79000
2024-05-31 14:26:00,11.13,11.13,11.12,11.13,62000
2024-05-31 14:27:00,11.13,11.14,11.12,11.14,343084
2024-05-31 14:28:00,11.13,11.14,11.13,11.13,92600
2024-05-31 14:29:00,11.14,11.14,11.13,11.14,39200
2024-05-31 14:30:00,11.13,11.14,11.13,11.14,60000
2024-05-31 14:31:00,11.13,11.14,11.13,11.13,84300
2024-05-31 14:32:00,11.14,11.14,11.13,11.13,166100
2024-05-31 14:33:00,11.14,11.14,11.12,11.13,720500
2024-05-31 14:34:00,11.13,11.14,11.12,11.13,207600
2024-05-31 14:35:00,11.13,11.13,11.12,11.12,161400
2024-05-31 14:36:00,11.13,11.13,11.12,11.13,170400
2024-05-31 14:37:00,11.12,11.13,11.12,11.12,273700
2024-05-31 14:38:00,11.13,11.13,11.12,11.12,881400
2024-05-31 14:39:00,11.12,11.13,11.12,11.13,218900
2024-05-31 14:40:00,11.12,11.13,11.12,11.12,116858
2024-05-31 14:41:00,11.12,11.13,11.12,11.12,139500
2024-05-31 14:42:00,11.12,11.13,11.12,11.13,120300
2024-05-31 14:43:00,11.13,11.13,11.12,11.12,645000
2024-05-31 14:44:00,11.12,11.13,11.11,11.12,405342
2024-05-31 14:45:00,11.13,11.13,11.12,11.12,255000
2024-05-31 14:46:00,11.13,11.13,11.12,11.13,388400
2024-05-31 14:47:00,11.13,11.13,11.12,11.13,166639
2024-05-31 14:48:00,11.13,11.13,11.12,11.12,587800
2024-05-31 14:49:00,11.12,11.13,11.11,11.11,365739
2024-05-31 14:50:00,11.12,11.12,11.11,11.11,320200
2024-05-31 14:51:00,11.12,11.12,11.11,11.11,475300
2024-05-31 14:52:00,11.11,11.12,11.11,11.11,182144
2024-05-31 14:53:00,11.11,11.12,11.11,11.12,355900
2024-05-31 14:54:00,11.11,11.12,11.11,11.12,437000
2024-05-31 14:55:00,11.11,11.13,11.11,11.12,681200
2024-05-31 14:56:00,11.12,11.13,11.11,11.12,205700
2024-05-31 14:57:00,11.13,11.13,11.12,11.12,661900
2024-05-31 15:00:00,11.11,11.11,11.11,11.11,3869473
2024-06-03 09:31:00,11.12,11.13,11.07,11.07,3026400
2024-06-03 09:32:00,11.08,11.08,11.05,11.06,1555100
2024-06-03 09:33:00,11.06,11.06,11.02,11.02,2098900
